epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.63E+12,2021-09-29T13.36.31.391,0.539,-0.632,0.687,0.492
1.63E+12,2021-09-29T13.36.31.396,0.544,-0.63,0.687,0.493
1.63E+12,2021-09-29T13.36.31.402,0.55,-0.629,0.686,0.498
1.63E+12,2021-09-29T13.36.31.406,0.554,-0.629,0.686,0.496
1.63E+12,2021-09-29T13.36.31.412,0.56,-0.628,0.685,0.497
1.63E+12,2021-09-29T13.36.31.416,0.564,-0.631,0.686,0.496
1.63E+12,2021-09-29T13.36.31.421,0.569,-0.627,0.686,0.494
1.63E+12,2021-09-29T13.36.31.427,0.575,-0.625,0.689,0.493
1.63E+12,2021-09-29T13.36.31.431,0.579,-0.628,0.687,0.494
1.63E+12,2021-09-29T13.36.31.437,0.585,-0.628,0.689,0.496
1.63E+12,2021-09-29T13.36.31.441,0.589,-0.63,0.691,0.495
1.63E+12,2021-09-29T13.36.31.447,0.595,-0.626,0.689,0.496
1.63E+12,2021-09-29T13.36.31.452,0.6,-0.626,0.689,0.492
1.63E+12,2021-09-29T13.36.31.456,0.604,-0.624,0.693,0.499
1.63E+12,2021-09-29T13.36.31.462,0.61,-0.629,0.691,0.5
1.63E+12,2021-09-29T13.36.31.466,0.614,-0.627,0.687,0.495
1.63E+12,2021-09-29T13.36.31.472,0.62,-0.624,0.689,0.493
1.63E+12,2021-09-29T13.36.31.476,0.624,-0.63,0.69,0.494
1.63E+12,2021-09-29T13.36.31.482,0.63,-0.626,0.691,0.495
1.63E+12,2021-09-29T13.36.31.487,0.635,-0.629,0.69,0.499
1.63E+12,2021-09-29T13.36.31.493,0.641,-0.631,0.688,0.499
1.63E+12,2021-09-29T13.36.31.497,0.645,-0.633,0.687,0.497
1.63E+12,2021-09-29T13.36.31.501,0.649,-0.632,0.687,0.502
1.63E+12,2021-09-29T13.36.31.507,0.655,-0.631,0.685,0.502
1.63E+12,2021-09-29T13.36.31.512,0.66,-0.63,0.684,0.503
1.63E+12,2021-09-29T13.36.31.517,0.665,-0.628,0.685,0.502
1.63E+12,2021-09-29T13.36.31.522,0.67,-0.632,0.687,0.501
1.63E+12,2021-09-29T13.36.31.528,0.676,-0.63,0.688,0.498
1.63E+12,2021-09-29T13.36.31.532,0.68,-0.632,0.689,0.497
1.63E+12,2021-09-29T13.36.31.536,0.684,-0.63,0.688,0.497
1.63E+12,2021-09-29T13.36.31.542,0.69,-0.63,0.688,0.497
1.63E+12,2021-09-29T13.36.31.547,0.695,-0.63,0.689,0.495
1.63E+12,2021-09-29T13.36.31.553,0.701,-0.627,0.69,0.5
1.63E+12,2021-09-29T13.36.31.557,0.705,-0.625,0.69,0.5
1.63E+12,2021-09-29T13.36.31.563,0.711,-0.627,0.69,0.507
1.63E+12,2021-09-29T13.36.31.567,0.715,-0.628,0.689,0.503
1.63E+12,2021-09-29T13.36.31.572,0.72,-0.628,0.691,0.509
1.63E+12,2021-09-29T13.36.31.578,0.726,-0.627,0.688,0.508
1.63E+12,2021-09-29T13.36.31.582,0.73,-0.627,0.688,0.505
1.63E+12,2021-09-29T13.36.31.588,0.736,-0.628,0.692,0.506
1.63E+12,2021-09-29T13.36.31.592,0.74,-0.626,0.688,0.507
1.63E+12,2021-09-29T13.36.31.598,0.746,-0.627,0.689,0.5
1.63E+12,2021-09-29T13.36.31.602,0.75,-0.627,0.689,0.5
1.63E+12,2021-09-29T13.36.31.607,0.755,-0.633,0.684,0.496
1.63E+12,2021-09-29T13.36.31.613,0.761,-0.624,0.69,0.501
1.63E+12,2021-09-29T13.36.31.617,0.765,-0.624,0.693,0.501
1.63E+12,2021-09-29T13.36.31.623,0.771,-0.634,0.683,0.492
1.63E+12,2021-09-29T13.36.31.627,0.775,-0.632,0.685,0.496
1.63E+12,2021-09-29T13.36.31.633,0.781,-0.625,0.69,0.5
1.63E+12,2021-09-29T13.36.31.638,0.786,-0.63,0.687,0.5
1.63E+12,2021-09-29T13.36.31.642,0.79,-0.634,0.685,0.5
1.63E+12,2021-09-29T13.36.31.648,0.796,-0.63,0.687,0.497
1.63E+12,2021-09-29T13.36.31.652,0.8,-0.637,0.699,0.467
1.63E+12,2021-09-29T13.36.31.658,0.806,-0.628,0.695,0.462
1.63E+12,2021-09-29T13.36.31.662,0.81,-0.627,0.688,0.47
1.63E+12,2021-09-29T13.36.31.668,0.816,-0.628,0.68,0.468
1.63E+12,2021-09-29T13.36.31.673,0.821,-0.59,0.648,0.367
1.63E+12,2021-09-29T13.36.31.679,0.827,-0.621,0.729,0.467
1.63E+12,2021-09-29T13.36.31.683,0.831,-0.633,0.669,0.493
1.63E+12,2021-09-29T13.36.31.687,0.835,-0.625,0.666,0.482
1.63E+12,2021-09-29T13.36.31.693,0.841,-0.626,0.701,0.486
1.63E+12,2021-09-29T13.36.31.698,0.846,-0.622,0.693,0.5
1.63E+12,2021-09-29T13.36.31.703,0.851,-0.648,0.677,0.498
1.63E+12,2021-09-29T13.36.31.708,0.856,-0.627,0.686,0.498
1.63E+12,2021-09-29T13.36.31.714,0.862,-0.616,0.706,0.491
1.63E+12,2021-09-29T13.36.31.718,0.866,-0.622,0.69,0.5
1.63E+12,2021-09-29T13.36.31.723,0.871,-0.631,0.674,0.501
1.63E+12,2021-09-29T13.36.31.728,0.876,-0.629,0.685,0.494
1.63E+12,2021-09-29T13.36.31.733,0.881,-0.626,0.703,0.486
1.63E+12,2021-09-29T13.36.31.739,0.887,-0.627,0.691,0.492
1.63E+12,2021-09-29T13.36.31.743,0.891,-0.625,0.679,0.491
1.63E+12,2021-09-29T13.36.31.749,0.897,-0.627,0.68,0.486
1.63E+12,2021-09-29T13.36.31.753,0.901,-0.623,0.696,0.493
1.63E+12,2021-09-29T13.36.31.758,0.906,-0.629,0.693,0.491
1.63E+12,2021-09-29T13.36.31.764,0.912,-0.632,0.688,0.49
1.63E+12,2021-09-29T13.36.31.768,0.916,-0.631,0.694,0.493
1.63E+12,2021-09-29T13.36.31.774,0.922,-0.631,0.691,0.487
1.63E+12,2021-09-29T13.36.31.778,0.926,-0.624,0.685,0.485
1.63E+12,2021-09-29T13.36.31.784,0.932,-0.629,0.682,0.491
1.63E+12,2021-09-29T13.36.31.788,0.936,-0.629,0.686,0.497
1.63E+12,2021-09-29T13.36.31.793,0.941,-0.625,0.685,0.499
1.63E+12,2021-09-29T13.36.31.799,0.947,-0.628,0.684,0.5
1.63E+12,2021-09-29T13.36.31.805,0.953,-0.632,0.679,0.5
1.63E+12,2021-09-29T13.36.31.809,0.957,-0.635,0.69,0.504
1.63E+12,2021-09-29T13.36.31.813,0.961,-0.634,0.696,0.497
1.63E+12,2021-09-29T13.36.31.819,0.967,-0.632,0.693,0.494
1.63E+12,2021-09-29T13.36.31.824,0.972,-0.631,0.69,0.498
1.63E+12,2021-09-29T13.36.31.828,0.976,-0.625,0.685,0.497
1.63E+12,2021-09-29T13.36.31.834,0.982,-0.624,0.682,0.489
1.63E+12,2021-09-29T13.36.31.838,0.986,-0.618,0.69,0.467
1.63E+12,2021-09-29T13.36.31.844,0.992,-0.629,0.69,0.493
1.63E+12,2021-09-29T13.36.31.849,0.997,-0.629,0.686,0.494
1.63E+12,2021-09-29T13.36.31.854,1.002,-0.624,0.691,0.493
1.63E+12,2021-09-29T13.36.31.859,1.007,-0.624,0.688,0.495
1.63E+12,2021-09-29T13.36.31.865,1.013,-0.625,0.688,0.493
1.63E+12,2021-09-29T13.36.31.869,1.017,-0.63,0.688,0.489
1.63E+12,2021-09-29T13.36.31.873,1.021,-0.628,0.69,0.496
1.63E+12,2021-09-29T13.36.31.879,1.027,-0.625,0.688,0.493
1.63E+12,2021-09-29T13.36.31.884,1.032,-0.626,0.684,0.489
1.63E+12,2021-09-29T13.36.31.890,1.038,-0.628,0.688,0.493
1.63E+12,2021-09-29T13.36.31.894,1.042,-0.631,0.693,0.494
1.63E+12,2021-09-29T13.36.31.900,1.048,-0.628,0.687,0.495
1.63E+12,2021-09-29T13.36.31.904,1.052,-0.633,0.688,0.493
1.63E+12,2021-09-29T13.36.31.909,1.057,-0.634,0.69,0.49
1.63E+12,2021-09-29T13.36.31.914,1.062,-0.627,0.686,0.494
1.63E+12,2021-09-29T13.36.31.919,1.067,-0.627,0.687,0.494
1.63E+12,2021-09-29T13.36.31.925,1.073,-0.626,0.685,0.493
1.63E+12,2021-09-29T13.36.31.929,1.077,-0.629,0.684,0.494
1.63E+12,2021-09-29T13.36.31.935,1.083,-0.631,0.685,0.494
1.63E+12,2021-09-29T13.36.31.939,1.087,-0.628,0.688,0.497
1.63E+12,2021-09-29T13.36.31.944,1.092,-0.627,0.688,0.487
1.63E+12,2021-09-29T13.36.31.950,1.098,-0.626,0.689,0.489
1.63E+12,2021-09-29T13.36.31.955,1.103,-0.626,0.689,0.498
1.63E+12,2021-09-29T13.36.31.960,1.108,-0.626,0.688,0.493
1.63E+12,2021-09-29T13.36.31.964,1.112,-0.627,0.69,0.494
1.63E+12,2021-09-29T13.36.31.970,1.118,-0.625,0.691,0.493
1.63E+12,2021-09-29T13.36.31.974,1.122,-0.627,0.691,0.492
1.63E+12,2021-09-29T13.36.31.979,1.127,-0.627,0.687,0.494
1.63E+12,2021-09-29T13.36.31.985,1.133,-0.628,0.689,0.493
1.63E+12,2021-09-29T13.36.31.989,1.137,-0.628,0.696,0.491
1.63E+12,2021-09-29T13.36.31.995,1.143,-0.629,0.69,0.491
1.63E+12,2021-09-29T13.36.31.999,1.147,-0.628,0.687,0.495
1.63E+12,2021-09-29T13.36.32.005,1.153,-0.628,0.687,0.49
1.63E+12,2021-09-29T13.36.32.010,1.158,-0.631,0.684,0.492
1.63E+12,2021-09-29T13.36.32.015,1.163,-0.629,0.682,0.494
1.63E+12,2021-09-29T13.36.32.020,1.168,-0.629,0.686,0.492
1.63E+12,2021-09-29T13.36.32.024,1.172,-0.631,0.686,0.491
1.63E+12,2021-09-29T13.36.32.030,1.178,-0.628,0.682,0.496
1.63E+12,2021-09-29T13.36.32.035,1.183,-0.629,0.687,0.497
1.63E+12,2021-09-29T13.36.32.040,1.188,-0.632,0.689,0.496
1.63E+12,2021-09-29T13.36.32.045,1.193,-0.632,0.688,0.494
1.63E+12,2021-09-29T13.36.32.051,1.199,-0.631,0.693,0.494
1.63E+12,2021-09-29T13.36.32.055,1.203,-0.629,0.691,0.494
1.63E+12,2021-09-29T13.36.32.059,1.207,-0.628,0.689,0.487
1.63E+12,2021-09-29T13.36.32.065,1.213,-0.625,0.691,0.485
1.63E+12,2021-09-29T13.36.32.070,1.218,-0.625,0.689,0.491
1.63E+12,2021-09-29T13.36.32.076,1.224,-0.619,0.693,0.495
1.63E+12,2021-09-29T13.36.32.081,1.229,-0.626,0.69,0.492
1.63E+12,2021-09-29T13.36.32.086,1.234,-0.625,0.688,0.487
1.63E+12,2021-09-29T13.36.32.090,1.238,-0.626,0.688,0.493
1.63E+12,2021-09-29T13.36.32.095,1.243,-0.629,0.687,0.493
1.63E+12,2021-09-29T13.36.32.100,1.248,-0.631,0.693,0.493
1.63E+12,2021-09-29T13.36.32.105,1.253,-0.633,0.689,0.49
1.63E+12,2021-09-29T13.36.32.111,1.259,-0.63,0.689,0.493
1.63E+12,2021-09-29T13.36.32.115,1.263,-0.628,0.688,0.498
1.63E+12,2021-09-29T13.36.32.121,1.269,-0.63,0.688,0.492
1.63E+12,2021-09-29T13.36.32.125,1.273,-0.635,0.689,0.489
1.63E+12,2021-09-29T13.36.32.130,1.278,-0.635,0.689,0.491
1.63E+12,2021-09-29T13.36.32.136,1.284,-0.633,0.688,0.493
1.63E+12,2021-09-29T13.36.32.140,1.288,-0.631,0.69,0.493
1.63E+12,2021-09-29T13.36.32.146,1.294,-0.627,0.688,0.494
1.63E+12,2021-09-29T13.36.32.150,1.298,-0.627,0.684,0.495
1.63E+12,2021-09-29T13.36.32.156,1.304,-0.627,0.686,0.491
1.63E+12,2021-09-29T13.36.32.161,1.309,-0.626,0.688,0.49
1.63E+12,2021-09-29T13.36.32.166,1.314,-0.631,0.685,0.492
1.63E+12,2021-09-29T13.36.32.171,1.319,-0.626,0.687,0.492
1.63E+12,2021-09-29T13.36.32.175,1.323,-0.625,0.69,0.494
1.63E+12,2021-09-29T13.36.32.181,1.329,-0.623,0.691,0.495
1.63E+12,2021-09-29T13.36.32.185,1.333,-0.626,0.688,0.495
1.63E+12,2021-09-29T13.36.32.191,1.339,-0.63,0.69,0.493
1.63E+12,2021-09-29T13.36.32.196,1.344,-0.629,0.692,0.491
1.63E+12,2021-09-29T13.36.32.202,1.35,-0.629,0.69,0.492
1.63E+12,2021-09-29T13.36.32.206,1.354,-0.628,0.688,0.492
1.63E+12,2021-09-29T13.36.32.210,1.358,-0.631,0.688,0.494
1.63E+12,2021-09-29T13.36.32.216,1.364,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.32.221,1.369,-0.626,0.686,0.491
1.63E+12,2021-09-29T13.36.32.226,1.374,-0.628,0.685,0.493
1.63E+12,2021-09-29T13.36.32.231,1.379,-0.63,0.689,0.493
1.63E+12,2021-09-29T13.36.32.237,1.385,-0.626,0.688,0.494
1.63E+12,2021-09-29T13.36.32.241,1.389,-0.63,0.69,0.492
1.63E+12,2021-09-29T13.36.32.245,1.393,-0.629,0.688,0.494
1.63E+12,2021-09-29T13.36.32.251,1.399,-0.628,0.685,0.493
1.63E+12,2021-09-29T13.36.32.256,1.404,-0.627,0.684,0.494
1.63E+12,2021-09-29T13.36.32.262,1.41,-0.628,0.688,0.491
1.63E+12,2021-09-29T13.36.32.266,1.414,-0.625,0.69,0.493
1.63E+12,2021-09-29T13.36.32.272,1.42,-0.629,0.692,0.494
1.63E+12,2021-09-29T13.36.32.276,1.424,-0.629,0.692,0.492
1.63E+12,2021-09-29T13.36.32.281,1.429,-0.626,0.69,0.492
1.63E+12,2021-09-29T13.36.32.286,1.434,-0.629,0.69,0.492
1.63E+12,2021-09-29T13.36.32.291,1.439,-0.627,0.69,0.495
1.63E+12,2021-09-29T13.36.32.297,1.445,-0.625,0.688,0.494
1.63E+12,2021-09-29T13.36.32.301,1.449,-0.627,0.687,0.493
1.63E+12,2021-09-29T13.36.32.307,1.455,-0.628,0.688,0.49
1.63E+12,2021-09-29T13.36.32.311,1.459,-0.628,0.688,0.492
1.63E+12,2021-09-29T13.36.32.317,1.465,-0.627,0.687,0.493
1.63E+12,2021-09-29T13.36.32.322,1.47,-0.63,0.687,0.494
1.63E+12,2021-09-29T13.36.32.326,1.474,-0.629,0.688,0.493
1.63E+12,2021-09-29T13.36.32.332,1.48,-0.627,0.688,0.493
1.63E+12,2021-09-29T13.36.32.336,1.484,-0.627,0.688,0.492
1.63E+12,2021-09-29T13.36.32.342,1.49,-0.627,0.684,0.491
1.63E+12,2021-09-29T13.36.32.347,1.495,-0.627,0.688,0.492
1.63E+12,2021-09-29T13.36.32.352,1.5,-0.628,0.69,0.491
1.63E+12,2021-09-29T13.36.32.357,1.505,-0.631,0.69,0.493
1.63E+12,2021-09-29T13.36.32.361,1.509,-0.63,0.686,0.493
1.63E+12,2021-09-29T13.36.32.367,1.515,-0.627,0.687,0.495
1.63E+12,2021-09-29T13.36.32.371,1.519,-0.627,0.688,0.491
1.63E+12,2021-09-29T13.36.32.377,1.525,-0.628,0.691,0.492
1.63E+12,2021-09-29T13.36.32.382,1.53,-0.628,0.689,0.49
1.63E+12,2021-09-29T13.36.32.388,1.536,-0.631,0.691,0.49
1.63E+12,2021-09-29T13.36.32.392,1.54,-0.628,0.689,0.495
1.63E+12,2021-09-29T13.36.32.396,1.544,-0.628,0.684,0.494
1.63E+12,2021-09-29T13.36.32.402,1.55,-0.629,0.686,0.492
1.63E+12,2021-09-29T13.36.32.407,1.555,-0.626,0.688,0.493
1.63E+12,2021-09-29T13.36.32.412,1.56,-0.627,0.69,0.494
1.63E+12,2021-09-29T13.36.32.417,1.565,-0.629,0.69,0.494
1.63E+12,2021-09-29T13.36.32.423,1.571,-0.63,0.691,0.492
1.63E+12,2021-09-29T13.36.32.427,1.575,-0.63,0.689,0.493
1.63E+12,2021-09-29T13.36.32.432,1.58,-0.627,0.688,0.493
1.63E+12,2021-09-29T13.36.32.437,1.585,-0.629,0.69,0.498
1.63E+12,2021-09-29T13.36.32.442,1.59,-0.63,0.688,0.495
1.63E+12,2021-09-29T13.36.32.448,1.596,-0.629,0.69,0.491
1.63E+12,2021-09-29T13.36.32.452,1.6,-0.631,0.689,0.492
1.63E+12,2021-09-29T13.36.32.458,1.606,-0.627,0.688,0.494
